text,sentiment,char_counts,word_counts,avg_wordlength,stopwords_counts,hashtag_counts,mentions_counts,digits_counts,uppercase_counts
"What are the drivers of #blockchain use in #pharma? Kraig Adams, VP at GS1 US, discusses the role of #GS1Standards. http://ow.ly/LrVE50BBIPq #DSCSA
",Neutral,126,22,5.7272727272727275,7,4,0,7,4
"Technology has upgraded procurement, and, as such, #Blockchain now gives you info about the safety of #pharma products: ingredients, suppliers and transportation. We can get into a deeper conversation at #DPW2019. https://ibm.co/31dSia5 @DPW2019
",Neutral,213,33,6.454545454545454,13,3,1,10,2
" “XRP Healthcare’s developing decentralized marketplace is equipped and poised to become the fresh portal for big pharma customers.” #xrpl #xrph #pharma #blockchain #cryptocurrency #cryptonews Read more of our latest blog:
",Neutral,192,30,6.4,9,6,0,1,1
" A new initiative backed by big #pharma uses #blockchain technology to verify business credentials and exchange data securely. @PharmaLedger and @GLEIF are launching the new digital ID: http://ow.ly/Oflv50JVSxk #supplychain #digitalID
",Neutral,204,30,6.8,6,4,2,3,3
" From #blockchain to big data + #HPC to #IoT, technology is accelerating #vaccine supply chains across the world. Great to see our sector supporting the enormous roll-out currently being undertaken globally. Read more on @ZDNet: https://zdnet.com/article/from-blockchain-to-big-data-and-iot-tech-is-trying-to-speed-up-vaccine-supply-chains/… #AI #Pharma #Bioinformatics
",Neutral,330,39,8.461538461538462,12,7,1,4,2
" 1. What if #blockchain could be used to actually save people's lives? This is an idea discussed by the pharmaceutical heavyweights Pfizer, Amgen and Sanofi. #medicine #pharma
",Neutral,148,27,5.481481481481482,10,3,0,3,0
" $VET #VeChain to Develop Drug-Tracing Platform for Pharma Giant @Bayer. #VeChain will help to help it track clinical trial drugs along the #blockchain. Known as ""CSecure"".
",Neutral,146,26,5.615384615384615,8,3,1,3,1
"Pharma giant #Pfizer joins #Decentralized initiatives with #VitaDAO #India to create a global regulatory framework for #crypto during #G20 Presidency #Inflation worries drive down assets like #Bitcoin   & crypto-related #stocks #blockchain #fintech
",Neutral,215,32,6.71875,6,11,0,1,1
"We spoke with @Labiotech_eu about the potential of #Blockchain and #DAOs to deliver funding for crucial biotech projects  
",Neutral,103,18,5.722222222222222,7,2,1,0,0
"1/2 New month, new supplier! Another big pharma company is joining the party. Happy to see the progress @Walmart is making on #VeChain, the only #1 Public #blockchain for enterprise adoption. 
",Neutral,161,31,5.193548387096774,10,3,1,7,0
"We are working tirelessly behind the scenes to Bridge Blockchain to the Pharma and Healthcare industry via our Decentralized Marketplace. #xrpl #xrph #blockchain
",Neutral,139,23,6.043478260869565,9,3,0,1,0
"Our partnerships will span a wide range of market segments in the Pharma and Healthcare industries. We believe that collaboration is the key to success - along with the security provided by XRPL blockchain technology. #xrp #blockchain #developers #xrpl #xrpledger #XRPHealthCare
",Neutral,238,41,5.804878048780488,14,6,0,2,1
"@dHealth_Network has competitive advantage over other #blockchain #projects with its powerful #technology and strong partnerships with the leading pharma houses like @Roche ,@LillyPad and @Novartis. I smell a revolution coming  
",Neutral,197,30,6.566666666666666,10,3,3,2,1
"Procure+, an innovative startup incubated at #STPIApiary, provides #Blockchain-based solutions to address the challenges of pharma supply chain by ensuring traceability, authenticity, and transparency. Explore now: https://apiary.stpi.in. #STPIINDIA #STPICoEs #STPIStartups
",Neutral,244,30,8.133333333333333,7,5,0,8,1
"@MrBeast Do you know that @LillyFoundation and @LillianFinance are saving the lives of children and vets? Through the power of #Crypto and #Blockchain the #healthcare #market is going to be revolutionized! Partnerships with hospitals, pharma, and many mor",Neutral,218,38,5.7368421052631575,17,4,3,2,0
"PharmaLedger panel, share their vision about how Blockchain can protect ""Patient Data"" setting a privacy law to conserve Identity privacy. ""Trust is not something you can built overnight, but Blockchain has a lot of benefits in this field"" #blockchain #healthcare #pharma
",Neutral,231,41,5.634146341463414,17,3,0,3,0
"An essential component of the pharmaceutical industry is the guarantee of expeditious and secure transactions; XRPH’s marketplace aims to fulfill these essential preconditions. #xrpl #xrph #blockchain #crypto #ripple #xrp #pharma #XRPHealthcare
",Neutral,214,31,6.903225806451613,8,8,0,1,0
"“Temperature-controlled supply chain plays a key role for pharma industry and #blockchain has the potential for seamless monitoring,” underlined Shri Adamya Sharma, Partner, @FelixAdvisory. #STPIINDIA #STPICoEs #STPIApiary #STPIPulse Watch live: https://bit.ly/stpipulse_apiary1
",Neutral,248,31,8.0,6,5,1,6,1
"“The integrity and future of the developing XRPH ecosystem demands that it retains sovereignty over its own digital asset, and thus over its decentralized marketplace and the elements connected therein.” #xrpl #xrp #xrph #blockchain #crypto #pharma #web3  
",Neutral,218,37,5.891891891891892,14,7,0,3,1
"Using #blockchain to monitor the COVID-19 vaccine  supply chain http://bit.ly/36VESn4 @wef #CovidVaccine #DigitalHealth #supplychain #hospitals #Pharmaceutical #pharma
",Neutral,150,17,8.823529411764707,2,7,1,4,1
"We are currently developing experiences: 1) Dubai based institution 2) Pharma company meeting and business hub (US based) 3) Surgical training facility (UK based) #InnovationForEveryone #medicine #MedTwitter #AIMX #Blockchain #ehealth #AI #Web3   #Metaverse #Healthcare
",Neutral,234,34,6.882352941176471,2,10,0,4,4
"Let’s get this right. Block chain talks with a top Pharma. Partnership talks with major credit card company. Major TIER 1 EXCHANGE INBOUND. CHILD SURGERIES. #LFG @LillianFinance #LillianFinance #ETH #Trending #fintech #blockchain #altcoinseason we are not a meme. #LOVE
",Neutral,231,39,5.923076923076923,10,8,1,7,8
"Pharma industry will also need #blockchain to protect consumers. #vechain ecosystem will definitely help this industry to #track and #trace drugs. Don’t miss the new revolution  $VET
",Neutral,155,27,5.7407407407407405,8,4,0,2,1
"Digital is changing the pharma & healthcare industry #technology #business #infosec #everett #google #blockchain #amazon #bitcoin   #youtube #live #100daysofcode #nowplaying #security #cdwsocial 
",Neutral,171,22,7.7727272727272725,2,14,0,1,0
"Companies like @ChronicledInc are creating #Blockchain-based pharma supply chain solution by enabling drug companies to comply with regulations. Explore how #STPIApiary is nurturing #startups to build similar solutions:
",Neutral,192,28,6.857142857142857,7,3,1,1,0
"How does the #healthcare sector, the #pharma industries  & the #COVID19 management benefit form #blockchain technology? #EUBOF’s latest Thematic Report on Blockchain Applications for Healthcare provides the answers. Read more  https://bit.ly/3xiTEDi
",Neutral,217,31,7.0,8,5,0,5,1
"Explore the latest articles & resources in #Analytics #DataScience #AI #MachineLearning for #DataScientists at @DataScienceCtrl http://bit.ly/3P3zx1G by @kurt_cagle —— #abdsc #BigData #IoT #IIoT #IoTPL #IoTCL #Pharma #Chatbots #DataViz #DataLabeling #blockchain #Web3   #Metaverse
",Neutral,247,32,7.71875,5,18,2,5,1
"The pharma industry loses much #money on fraud in #supplychains due to thefts and counterfeit #medicine. #blockchain can solve this by improving the real-time #tracking of #drugs and verifying the drug’s country of origin and manufacturer. #dHealth
",Neutral,212,37,5.72972972972973,15,7,0,2,0
"Startup which I work for recently got acquired by 300+Billion dollar pharma company who is currently looking to pilot #blockchain technology to improve the quality of data and reduce the administrative costs. Now you know why I'm all in on $DGB #DGB DYOR #DigiByte
",Neutral,221,44,5.0227272727272725,16,3,0,2,4
"Lots happening in #blockchain and #supplychain - especially for food and pharma. It's getting increasingly real.
",Neutral,97,16,6.0625,4,2,0,2,0
"#blockchain could be a game-changer for identity management and verification at key stages —during enrollment and at registration, all while maintaining strict patient privacy. Blockchain like $TRAC could be used in pharma and healthcare use cases.
",Neutral,213,36,5.916666666666667,15,1,0,3,1
"In this week’s Acoer Bytes, we focus on our HashLoad, a secure file storage and sharing solution that ensures the trustworthiness of data. We also highlight an interesting article by @HarvardBiz on why big #pharma is betting on #blockchain. Read more here: https://acoer.com/acoer-bytes
",Neutral,244,43,5.674418604651163,17,2,1,5,0
"We are proud to announce 24 pharma companies have collaborated to submit the MediLedger DSCSA Pilot Final Report to the FDA, proposing blockchain for an interoperable track & trace system for US drugs #collaboration #blockchain https://prn.to/2HJaP60
",Neutral,215,36,5.972222222222222,10,2,0,5,3
"Our Objective with the Symbiotic #Blockchain: To hold big pharma accountable To make accurate #medical data available To make clinical trials affordable To introduce a new line of plant-based #medicine To bring easy connection between doctors To give power back to #patients
",Neutral,233,42,5.5476190476190474,10,4,0,0,0
"Jan 31 2019: ""Global Pharma Giant #Merck Wins US #Blockchain, #AI Patent for Product Authenticity"" ""Last week, U.S.-based health insurance giant Aetna partnered with tech mogul #IBM to build a blockchain network designed for the healthcare industry,...""
",Neutral,217,37,5.864864864864865,6,4,0,7,3
"A great recap of what @WHO describes to be the key #pharma industry data challenges by @JureSkornik. Check out the article and learn how @origin_trail is the best tool to address them! #TraceOn #data #enterprise #blockchain . Working with customers in the pharmaceutical industry, we see OriginTrail DKG as being uniquely suited to enable the important features of traceability and verification systems highlighted in @WHO's policy paper."" More in General Manager's Point of View
",Neutral,406,74,5.486486486486487,27,5,4,4,3
"#Blockchain continues to attract interest in the pharma industry Through drug distribution history management service, it is possible to innovate business by implementing product-specific history management, real-time distribution history tracking @WHO @SamsungIndia $TRX #AKB
",Neutral,243,34,7.147058823529412,7,2,2,2,3
"Advanced tech like #blockchain & #IoT can secure the global pharma supply chain and protect patients from counterfeit drugs. Don't miss Authena CEO @MatPanzavolta's article on page 32 of the @PMPSmag May 2023 © Samedan! #pharmaceuticals 
",Neutral,201,36,5.583333333333333,7,3,2,3,1
"Tech speaks for itself Can it make bread? NO Is about #usecases @PharmaLedger Adoption is beyond platform creation ""How #Blockchain is Changing Pharma Jorge A. Ferrer Roig Clarisse Dias da Mota @Novartis Ken Thursby @MSDInvents Wafaa Ahmed @NBS_NTU @EBlockchainCon #EBCvirtual
",Neutral,237,40,5.925,8,3,5,1,3
"We're thrilled to be innovating w/ the exceptional team @cardinalhealth. Together, we're leveraging the #blockchain to solve complex problems in the #healthcare industry Check out this post by Ray Bajaj, SVP, Chief Technology Officer @ Cardinal Health
",Neutral,215,37,5.8108108108108105,10,2,2,4,1
"We are very excited to announce the addition of @Healthcare_ABC to the #MediLedger Network! #AmersiourceBergen has been an amazing innovation partner in working towards fixing the inefficiencies across #LifeSciences & #Healthcare 
",Neutral,199,31,6.419354838709677,14,4,1,0,0
"Yes, there's more to #NFTs than pixels and apes. CTO @iogreco discusses new paradigms emerging in #blockchaintechnology, where NFTs can become collateral to optimize the #healthcareindustry. #blockchaininhealthcare #blockchainadoption #blockchaintech
",Neutral,222,29,7.655172413793103,10,6,1,4,1
"Big milestone at Chronicled today: a successful demo of ZK-p tech to record proofs of contract updates from a manufacturer to a wholesaler on the MediLedger Blockchain. Could be the 1st successful application of ZK-p to solve a real world business problem outside of crypto!
",Neutral,230,45,5.111111111111111,17,0,0,2,0
"We’re leveraging new #blockchain technology on the MediLedger network to create a compelling customer experience. Learn how we're partnering with @ChronicledInc to make it possible:
",Neutral,157,25,6.28,9,1,1,1,0
"I’m very honoured and happy about our recent strategic partnership between @PharmaLedger, the leading pharma #blockchain consortium, and the @EBlockchainCon. 
",Neutral,138,20,6.9,8,1,2,3,0
".@ChronicledInc the company that developed the @mediledger pharma network has raised $8.3m from @TrueGlobalVCs 
",Neutral,97,14,6.928571428571429,5,0,2,2,0
"[CONTENT FROM @DeloitteOnTech] #Blockchain is being applied in highly regulated industries like financial services, life sciences, and pharma. Establishing regulations on privacy, economic sanctions, and tax reporting will be hard—but it’s critical.
",Neutral,218,32,6.8125,8,1,1,6,2
" .@RBI_Presse and @sparkasse Bielefeld executed a pilot on @network_polo #blockchain trade finance network Transaction for pharmaceuticals sold by @DrWolffGroup to Austrian wholesaler sam Pharma Integration from SServicePartner @Cordablockchain
",Neutral,216,28,7.714285714285714,7,1,4,1,0
"The #UK will create a new digital supply chain for the pharma industry that will use #blockchain. People will be able to monitor it. Will the fact that a supply chain is based on blockchain allow a safer purchase of meds online?#YouthIGFActs @HealthcareDig
",Neutral,214,43,4.976744186046512,16,2,1,2,1
"Many people’s knowledge of #blockchain has come almost exclusively from what they’ve read about cryptocurrency. I've shared some thoughts with @ForbesTechCncl on how it can be leveraged in the pharma industry:
",Neutral,179,31,5.774193548387097,15,1,1,1,0
"AI and Blockchain Transforming Pharma Supply Chain http://bit.ly/2Ol0XBu #AI #ArtificialIntelligence #Blockchain #blockchaindevelopment #blockchaintechnology #supplychain #Pharmaceutical #pharma18 #transformation
",Neutral,196,17,11.529411764705882,1,9,0,4,2
"The FDA Partners with Walmart, IBM, Merck to Improve Pharma Supply Chain via Blockchain https://buff.ly/2KUxAGX #SupplyChain #blockchain #Pharmaceutical
",Neutral,135,18,7.5,3,3,0,4,2
"IBM Developing Blockchain Solution to Combat Fake Medicine in Africa #Africa #IBM #Blockchain #fakedrugs #innovation #tech #supplychain #tech #VIKEZ #healthcare #consumers #business #Pharma https://bitsonline.com/ibm-blockchain-combat-fake-drugs-africa/
",Neutral,230,24,9.583333333333334,2,13,0,1,3
"“Why Big Pharma Is Betting on Blockchain” https://buff.ly/2XDtwPO #supplychain #blockchain #pharma #tech #covid19
",Neutral,101,13,7.769230769230769,1,5,0,3,0
"Great to see out partner @vechainofficial leveraging #blockchain to reduce counterfeit vaccines in China! #supplychain #crypto #pharma
",Neutral,118,17,6.9411764705882355,5,4,1,0,0
"Enjoyed speaking on 2 #blockchain in #healthcare panels at @ELEV8con this past week in #losangeles. The 1st panel was on #smartcontract #automation in healthcare. The 2nd on #blockchain for #pharma #supplychain. Enlightening discussions and great people! #enterprise
",Neutral,230,37,6.216216216216216,11,9,1,7,0
"#IoT #Blockchain & #AI will revolutionize #business. @dragonchaingang Interchain #BaaS Platform Check*https://dragonchain.com/blockchain-platform… #4IR #5G #SmartCities #ML #DL #logistics #AR #VR #SupplyChain #Health #Finance #Retail #transport #pharma #biotech #energy #DLT #aerospace #RealEstate
",Neutral,267,31,8.612903225806452,1,24,1,4,8
"China pharma scandal sparks call for #blockchain in drug supply chain | #SupplyChain #business #news | https://blockchaintechnology-news.com/2018/07/26/china-pharma-scandal-sparks-call-for-blockchain-in-drug-supply-chain/
",Neutral,205,17,12.058823529411764,3,4,0,4,0
"Thanks to http://jsb-solutions.com for meeting with us and discussing #blockchain opportunities within the pharma #SupplyChain, among others!
",Neutral,125,17,7.352941176470588,8,2,0,2,0
"Blockchain in the Pharmaceutical Value Chain Through | DynaSys Blog http://ow.ly/6LGP30mC9yZ #SupplyChain #Blockchain #Pharma #LifeSciences #SmartContracts
",Neutral,140,16,8.75,2,5,0,4,0
"Lots happening in #blockchain and #supplychain - especially for food and pharma. It's getting increasingly real.
",Neutral,97,16,6.0625,4,2,0,2,0
"#Blockchain as a 'trust machine'. Marc Gardette from @Microsoft explains how Blockchain technology can help establishing a more transparent #SupplyChain in #pharma #SerializationSummit
",Neutral,162,23,7.043478260869565,8,4,1,1,0
"VeriDoc Global is the solution towards an honest, transparent future. http://veridocglobal.com #PublicSafety #AntiFraud #blockchain #fintech #tech #massadoption #erc20 #supplychain #counterfeit #identity #passport #foodsafety #pharma #medicine #document #security #landtitle
",Neutral,247,28,8.821428571428571,4,17,0,4,0
"Offering a full array of #SupplyChain Management solutions to #Pharma #Hiotech & #Healthcare companies using #Blockchain #IoT & our next-gen #AI  http://tradepharma.network #Medicines #B2B #Counterfeiting #MachineLearning #BayesianModeling #Algorithms #DataScience #PharmaShiftAI
",Neutral,249,30,8.3,6,15,0,2,2
"Dear Ladies, say welcome to: Cristina BaldiWide experience as manager of #corporatefinance, credit & #riskmanagement.Specialized in #Blockchain Technology Management, #fintech solution & pharma #supplychain #traceability are both the focus of her activities.
",Neutral,227,32,7.09375,9,6,0,5,0
